,Open_adj,High_adj,Low_adj,Close_adj,Volume,Open_interest,Contract
28/5/2021,79684.65898,82463.71267,79684.65898,81212.58491,245750,138997,2107
31/5/2021,80869.35518,82541.21616,80570.41315,81876.90054,193071,140188,2107
1/6/2021,81910.11632,82319.77762,81478.31116,82109.41101,124527,143265,2107
2/6/2021,81600.10236,82762.6547,81400.80767,81577.95851,155274,142144,2107
3/6/2021,81245.8007,81378.66382,80393.26231,80847.21132,159440,137885,2107
4/6/2021,79164.27841,79441.07659,78023.86992,78511.03471,241633,138875,2107
7/6/2021,79629.29935,79861.80981,78821.04867,79042.48721,124171,135289,2107
8/6/2021,78909.62409,79529.652,78721.40133,79075.70299,108151,129667,2107
9/6/2021,78599.61013,80138.60799,78466.74701,79175.35034,138564,130944,2107
10/6/2021,79053.55914,79585.01164,78666.04169,78931.76794,102273,132479,2107
11/6/2021,78688.18555,79529.652,78178.8769,79463.22044,143036,132425,2107
15/6/2021,79186.42226,79230.70997,76949.893,77758.14367,117291,130566,2107
16/6/2021,76518.08784,76938.82107,75709.83717,75787.34066,151836,126238,2107
17/6/2021,76340.93701,77315.26659,75787.34066,76174.85811,133905,111678,2107
18/6/2021,75975.56342,76352.00894,74137.62353,74469.78134,159616,106284,2107
21/6/2021,74347.99014,74591.57254,73462.23598,73462.23598,131010,98793,2107
22/6/2021,73539.73947,74868.37071,73506.52369,74569.42868,110174,87899,2107
23/6/2021,74569.42868,75853.77222,74480.85327,75820.55644,85778,80005,2107
24/6/2021,76163.78618,76960.96493,75510.54248,75676.62139,77788,69940,2107
25/6/2021,75919.74138,76626.99952,75787.13047,75919.74138,108388,117410,2108
28/6/2021,75787.13047,76173.91227,75311.94141,75842.38502,109883,119630,2108
29/6/2021,75864.48683,76052.35228,74836.75234,75311.94141,98558,122235,2108
30/6/2021,75079.87233,75820.2832,74969.36325,75577.16321,88641,121002,2108
1/7/2021,75842.38502,76593.84679,75300.8905,75433.5014,122153,121003,2108
